Model, LR, Rank, Max_Iter, Avg_R2
model_1, 0.01, 2, 200, 0.9299
model_1, 0.01, 2, 300, 0.9575
model_1, 0.01, 2, 400, 0.9661
model_1, 0.01, 2, 500, 0.9699
model_1, 0.01, 3, 200, 0.9348
model_1, 0.01, 3, 300, 0.9597
model_1, 0.01, 3, 400, 0.9675
model_1, 0.01, 3, 500, 0.9716
model_1, 0.01, 4, 200, 0.9381
model_1, 0.01, 4, 300, 0.9602
model_1, 0.01, 4, 400, 0.9687
model_1, 0.01, 4, 500, 0.9723
model_1, 0.01, 5, 200, 0.9360
model_1, 0.01, 5, 300, 0.9598
model_1, 0.01, 5, 400, 0.9686
model_1, 0.01, 5, 500, 0.9723
model_1, 0.01, 6, 200, 0.9369
model_1, 0.01, 6, 300, 0.9596
model_1, 0.01, 6, 400, 0.9692
model_1, 0.01, 6, 500, 0.9722
model_2, 0.01, 2, 200, 0.9105
model_2, 0.01, 2, 300, 0.9397
model_2, 0.01, 2, 400, 0.9518
model_2, 0.01, 2, 500, 0.9585
model_2, 0.01, 3, 200, 0.9099
model_2, 0.01, 3, 300, 0.9420
model_2, 0.01, 3, 400, 0.9532
model_2, 0.01, 3, 500, 0.9589
model_2, 0.01, 4, 200, 0.9123
model_2, 0.01, 4, 300, 0.9414
model_2, 0.01, 4, 400, 0.9532
model_2, 0.01, 4, 500, 0.9589
model_2, 0.01, 5, 200, 0.9123
model_2, 0.01, 5, 300, 0.9409
model_2, 0.01, 5, 400, 0.9533
model_2, 0.01, 5, 500, 0.9592
model_2, 0.01, 6, 200, 0.9144
model_2, 0.01, 6, 300, 0.9412
model_2, 0.01, 6, 400, 0.9532
model_2, 0.01, 6, 500, 0.9594
model_3, 0.01, 2, 200, 0.9192
model_3, 0.01, 2, 300, 0.9481
model_3, 0.01, 2, 400, 0.9606
model_3, 0.01, 2, 500, 0.9660
model_3, 0.01, 3, 200, 0.9207
model_3, 0.01, 3, 300, 0.9499
model_3, 0.01, 3, 400, 0.9617
model_3, 0.01, 3, 500, 0.9674
model_3, 0.01, 4, 200, 0.9218
model_3, 0.01, 4, 300, 0.9510
model_3, 0.01, 4, 400, 0.9620
model_3, 0.01, 4, 500, 0.9681
model_3, 0.01, 5, 200, 0.9235
model_3, 0.01, 5, 300, 0.9505
model_3, 0.01, 5, 400, 0.9624
model_3, 0.01, 5, 500, 0.9679
model_3, 0.01, 6, 200, 0.9254
model_3, 0.01, 6, 300, 0.9515
model_3, 0.01, 6, 400, 0.9624
model_3, 0.01, 6, 500, 0.9682
model_1, 0.005, 2, 200, 0.8610
model_1, 0.005, 2, 300, 0.9098
model_1, 0.005, 2, 400, 0.9337
model_1, 0.005, 2, 500, 0.9481
model_1, 0.005, 3, 200, 0.8684
model_1, 0.005, 3, 300, 0.9108
model_1, 0.005, 3, 400, 0.9340
model_1, 0.005, 3, 500, 0.9523
model_1, 0.005, 4, 200, 0.8688
model_1, 0.005, 4, 300, 0.9132
model_1, 0.005, 4, 400, 0.9356
model_1, 0.005, 4, 500, 0.9503
model_1, 0.005, 5, 200, 0.8743
model_1, 0.005, 5, 300, 0.9141
model_1, 0.005, 5, 400, 0.9369
model_1, 0.005, 5, 500, 0.9509
model_1, 0.005, 6, 200, 0.8725
model_1, 0.005, 6, 300, 0.9121
model_1, 0.005, 6, 400, 0.9393
model_1, 0.005, 6, 500, 0.9511
model_2, 0.005, 2, 200, 0.8263
model_2, 0.005, 2, 300, 0.8808
model_2, 0.005, 2, 400, 0.9094
model_2, 0.005, 2, 500, 0.9275
model_2, 0.005, 3, 200, 0.8300
model_2, 0.005, 3, 300, 0.8789
model_2, 0.005, 3, 400, 0.9112
model_2, 0.005, 3, 500, 0.9290
model_2, 0.005, 4, 200, 0.8448
model_2, 0.005, 4, 300, 0.8873
model_2, 0.005, 4, 400, 0.9111
model_2, 0.005, 4, 500, 0.9297
model_2, 0.005, 5, 200, 0.8459
model_2, 0.005, 5, 300, 0.8914
model_2, 0.005, 5, 400, 0.9153
model_2, 0.005, 5, 500, 0.9307
model_2, 0.005, 6, 200, 0.8480
model_2, 0.005, 6, 300, 0.8867
model_2, 0.005, 6, 400, 0.9117
model_2, 0.005, 6, 500, 0.9322
model_3, 0.005, 2, 200, 0.8345
model_3, 0.005, 2, 300, 0.8879
model_3, 0.005, 2, 400, 0.9199
model_3, 0.005, 2, 500, 0.9399
model_3, 0.005, 3, 200, 0.8395
model_3, 0.005, 3, 300, 0.8949
model_3, 0.005, 3, 400, 0.9212
model_3, 0.005, 3, 500, 0.9392
model_3, 0.005, 4, 200, 0.8508
