mod_1,mod_2,FNF,TNF,GF,GS,thermal,epithermal,fast,current,fast_neutron_dose,photon_dose
16.91,11.18,20.54,0.63,4.86,5.93,7372700,146300000,187050000,86360000,0.00059646,0.00011981
27.64,19.43,7.71,0.23,6.23,3.89,12808000,176250000,408700000,102200000,0.0013275,0.00018687
38.52,5.95,13.61,1,7.82,2.45,9466500,116250000,186700000,65514000,0.0006639,0.00010195
24.59,13.41,2.35,0.35,1.69,7.9,17189000,205000000,1172300000,118480000,0.0050726,0.00045557
24.09,8.04,11.7,0.5,0.51,7.31,21512000,234740000,573880000,138450000,0.0021538,0.00033009
35.31,15.12,23,0.84,9.37,3.06,3224700,52053000,40809000,29755000,0.0001198,3.57E-05
33.58,9.38,4.58,0.13,7.21,0.78,29552000,193030000,626660000,108220000,0.0026524,0.00026457
19.36,17.54,17.42,0.71,3.59,9.03,6255100,136310000,184750000,81134000,0.00056489,0.00011283
21.17,5.61,4.75,0.76,5.38,8.14,19643000,213180000,1181700000,121500000,0.0054304,0.00040363
31.97,13.74,16.82,0.42,4.18,1.44,7630200,123590000,134940000,69853000,0.0004708,0.00010324
36.53,11.75,10.31,0.64,2.42,4.75,7790700,160540000,308180000,93758000,0.00098695,0.0001692
22.68,18.85,23.94,0.05,8.71,5.54,3775500,83019000,61611000,49399000,0.00016569,4.98E-05
26.1,9.75,14.56,0.15,9.73,9.88,8615200,162020000,237300000,98894000,0.00067112,0.00012187
37.2,17.17,0.96,0.55,1.03,0.39,16151000,176770000,802010000,95509000,0.0032235,0.0004153
29.35,7.44,19.93,0.27,3.03,3.3,6133900,151010000,150700000,86890000,0.000509,0.00011909
15,15.72,7.89,0.92,6.81,6.29,15391000,188970000,706000000,110560000,0.0026938,0.00026192
16.39,7.1,16.07,0.09,1.48,0.07,25346000,314110000,505950000,172210000,0.0022656,0.00042868
30.32,16.06,5.49,0.74,7.76,9.58,10629000,149840000,413630000,87693000,0.0013147,0.00016531
38.18,10.31,24.76,0.46,5.7,6.59,2484800,62718000,41831000,36947000,0.00011049,3.77E-05
27.45,16.6,9.5,0.86,4.5,3.62,10050000,154860000,362960000,88267000,0.0012922,0.00018201
21.32,12.11,0.11,0.96,3.34,1.76,27293000,173140000,1710000000,94602000,0.010118,0.00067249
35.54,18.49,15.41,0.38,7.12,8.44,4880100,104200000,110720000,63232000,0.00027781,7.08E-05
31.01,5.01,8.61,0.59,8.81,5.24,14413000,174160000,491510000,101500000,0.0017664,0.00020246
19.79,14.34,19.21,0.25,0.1,4.43,4633400,182240000,208390000,107420000,0.0006911,0.00020456
18.38,8.81,6.88,0.3,8.14,2.76,26071000,227590000,957170000,130280000,0.0043182,0.00034754
32.23,18.11,21.38,0.89,2.01,6.98,2590100,69547000,61001000,40299000,0.00017666,5.38E-05
33.92,8.38,3.06,0.17,3.92,9.35,15854000,200190000,815540000,118200000,0.0029893,0.00029515
23.12,14.78,12.89,0.52,5.28,1.08,15737000,168170000,300100000,94581000,0.0012111,0.00017627
25.55,6.55,22.24,0.66,6.28,4.2,5665700,111210000,116130000,64708000,0.00037719,8.30E-05
39.9,12.8,12.45,0.01,2.66,6.25,7620100,182720000,225840000,109440000,0.00059106,0.00014242
29,10.82,18.25,0.79,0.81,7.58,4891800,127180000,159420000,75131000,0.00049511,0.00012129
17.9,19.79,3.76,0.38,9.68,2.15,23664000,170380000,740690000,96824000,0.003196,0.0002747
17.4,6.4,10.81,0.23,3.73,1.21,28452000,301450000,906090000,170190000,0.0042615,0.00044862
28.52,13,23.65,0.57,7.35,9.14,3310900,76356000,61834000,45911000,0.00016363,4.77E-05
39.59,11.48,5.43,0.35,9.2,7.19,11638000,151790000,365670000,90782000,0.0010997,0.00015945
25.27,19.17,16.72,0.94,0.33,2.63,2876000,105770000,142350000,59737000,0.00054687,0.00014907
23.4,9.53,19.83,0.85,1.87,2.02,5205500,123900000,154160000,69515000,0.0006192,0.00014193
34.23,17.31,8.57,0.45,8,7.79,8901800,143290000,271090000,85924000,0.00072555,0.00012593
32.71,8.05,14.27,0.73,6.09,6.04,8164700,143470000,223870000,84356000,0.00072539,0.00013037
18.88,15.03,1.44,0.08,4.73,4.32,24774000,219600000,1507000000,124690000,0.0074211,0.00052465
20.1,11.84,13.71,0.41,6.67,3.49,13539000,194190000,373880000,112610000,0.001337,0.00018422
31.29,18.81,1.66,0.81,2.89,6.8,12261000,160630000,713180000,92342000,0.0025258,0.00026811
36.04,5.79,20.83,0.03,1.2,9.38,4852200,144380000,121540000,87850000,0.00030524,0.00010005
21.79,13.6,7.23,0.68,9.91,0.2,37836000,169420000,501910000,92777000,0.002324,0.00022944
26.98,7.71,4.09,0.52,8.53,4.55,20141000,172670000,828900000,100650000,0.0035201,0.00028956
37.68,15.38,17.73,0.18,2.25,5.03,4590900,122050000,104520000,71797000,0.00027594,8.61E-05
30.04,10.1,11.02,0.89,4.31,8.65,9623200,159620000,348910000,95185000,0.0011053,0.00016478
